32_teeth	tokens=32|*|*,teeth|*|*	aptitude=0.968	attention=0.775	pleasentness=0.965	polarity=0.903	semantics=snot|bad_taste|mouth_part|gum|near_mouth	sensitivity=0.0
a_little	tokens=a|*|*,little|*|*	aptitude=0.086	attention=0.0	pleasentness=0.039	polarity=0.032	semantics=least|little|small_amount|shortage|scarce	sensitivity=0.028
a_lot	tokens=a|*|*,lot|*|*	aptitude=0.337	attention=0.161	pleasentness=0.277	polarity=0.258	semantics=save_environment|spread_word|others_understand|sincere|good_listener	sensitivity=0.0
a_lot_of_books	tokens=a|*|*,lot|*|*,of|*|*,books|*|*	aptitude=0.066	attention=0.076	pleasentness=0.0	polarity=0.047	semantics=old_testament|telephone_directory|cook_book|magazine|librarian	sensitivity=0.0
a_lot_of_energy	tokens=a|*|*,lot|*|*,of|*|*,energy|*|*	aptitude=0.766	attention=0.0	pleasentness=0.0	polarity=0.255	semantics=effort|determination|discipline|good_condition|stamina	sensitivity=0.0
a_lot_of_fat	tokens=a|*|*,lot|*|*,of|*|*,fat|*|*	aptitude=0.092	attention=0.0	pleasentness=0.038	polarity=0.027	semantics=tasty|flavor|sweetness|edible|white_brown	sensitivity=0.05
a_lot_of_flowers	tokens=a|*|*,lot|*|*,of|*|*,flowers|*|*	aptitude=0.071	attention=0.093	pleasentness=0.027	polarity=0.055	semantics=flower|love|show_love|rose|give_flower	sensitivity=0.025
a_lot_of_food	tokens=a|*|*,lot|*|*,of|*|*,food|*|*	aptitude=0.0	attention=-0.055	pleasentness=0.043	polarity=0.033	semantics=apple_pie|lasagna|jelly|frozen_food|cottage_cheese	sensitivity=0.0
a_lot_of_fun	tokens=a|*|*,lot|*|*,of|*|*,fun|*|*	aptitude=0.856	attention=0.0	pleasentness=0.814	polarity=0.557	semantics=radical|enjoyable|just_fun|good_mental_health|fun_play	sensitivity=0.0
a_lot_of_information	tokens=a|*|*,lot|*|*,of|*|*,information|*|*	aptitude=0.144	attention=0.219	pleasentness=0.0	polarity=0.104	semantics=information|like_price|amount_charge|amount|item_worth	sensitivity=-0.05
a_lot_of_money	tokens=a|*|*,lot|*|*,of|*|*,money|*|*	aptitude=0.0	attention=0.131	pleasentness=0.0	polarity=0.044	semantics=money_bank|bring_wallet|much_money|wealthy|down_payment	sensitivity=0.0
a_lot_of_noise	tokens=a|*|*,lot|*|*,of|*|*,noise|*|*	aptitude=-0.962	attention=0.0	pleasentness=0.0	polarity=-0.619	semantics=back_pain|dog_bark|sprain_ankle|backache|broken_leg	sensitivity=0.896
a_lot_of_people	tokens=a|*|*,lot|*|*,of|*|*,people|*|*	aptitude=0.0	attention=-0.028	pleasentness=0.08	polarity=0.036	semantics=big_group|multitude|bunch_person|group_of_people|several_people	sensitivity=0.0
a_lot_of_practice	tokens=a|*|*,lot|*|*,of|*|*,practice|*|*	aptitude=0.943	attention=0.0	pleasentness=0.808	polarity=0.584	semantics=elastic|flexibility|take_lesson|coordination|air_tank	sensitivity=0.0
a_lot_of_sex	tokens=a|*|*,lot|*|*,of|*|*,sex|*|*	aptitude=0.85	attention=0.934	pleasentness=0.791	polarity=0.858	semantics=prosper|sexual_intercourse|warm_fuzzy_feeling|find_woman|give_birth_child	sensitivity=0.0
a_lot_of_stress	tokens=a|*|*,lot|*|*,of|*|*,stress|*|*	aptitude=-0.163	attention=-0.016	pleasentness=-0.184	polarity=-0.145	semantics=get_grade|failure|flunk|stress|advance_next_level	sensitivity=-0.104
a_lot_of_study	tokens=a|*|*,lot|*|*,of|*|*,study|*|*	aptitude=-0.111	attention=-0.005	pleasentness=-0.074	polarity=-0.064	semantics=study_a_lot|study_course_material|study_hard|study_material|go_class	sensitivity=0.013
a_lot_of_time	tokens=a|*|*,lot|*|*,of|*|*,time|*|*	aptitude=0.0	attention=0.988	pleasentness=0.918	polarity=0.635	semantics=learn_program_language|write_code|learn_program|debug|learn_computer_language	sensitivity=0.0
a_lot_of_work	tokens=a|*|*,lot|*|*,of|*|*,work|*|*	aptitude=0.079	attention=0.141	pleasentness=-0.053	polarity=0.045	semantics=hard_work|produce_value|prepare_event|accomplish|finish_work	sensitivity=0.031
abandon	tokens=abandon|*|*	aptitude=-0.709	attention=0.0	pleasentness=-0.99	polarity=-0.566	semantics=leave_alone|smelly_foot|unattractive|lose_team|leave_out	sensitivity=0.0
abandonment	tokens=abandonment|*|*	aptitude=-0.149	attention=0.391	pleasentness=-0.521	polarity=-0.174	semantics=need_break|need_to_rest|leg_tire|catch_breath|spare	sensitivity=-0.243
abase	tokens=abase|*|*	aptitude=-0.161	attention=0.402	pleasentness=-0.486	polarity=-0.153	semantics=mortify|embarrassed|self-hatred|self-disgust|humiliated	sensitivity=-0.214
abash	tokens=abash|*|*	aptitude=-0.149	attention=0.391	pleasentness=-0.521	polarity=-0.174	semantics=awkward|unenviable|embarrassingly|embarrassing|sheepish	sensitivity=-0.243
abashed	tokens=abashed|*|*	aptitude=-0.153	attention=0.392	pleasentness=-0.52	polarity=-0.174	semantics=abash|awkward|unenviable|embarrassingly|chagrined	sensitivity=-0.24
abashment	tokens=abashment|*|*	aptitude=-0.14	attention=0.383	pleasentness=-0.542	polarity=-0.186	semantics=bashfulness|self-consciousness|uncomfortableness|self-conscious|mortification	sensitivity=-0.26
abc	tokens=abc|*|*	aptitude=0.089	attention=-0.009	pleasentness=0.03	polarity=0.043	semantics=grammar|alphabet|letter|language|noun	sensitivity=0.0
abdomen	tokens=abdomen|*|*	aptitude=0.0	attention=0.772	pleasentness=0.902	polarity=0.558	semantics=body|two_ears|dog_pet|living_thing|fur	sensitivity=0.0
abduction	tokens=abduction|*|*	aptitude=-0.056	attention=0.16	pleasentness=-0.127	polarity=-0.088	semantics=reaper|intolerance|danger|illiteracy|kidnap	sensitivity=-0.24
abhor	tokens=abhor|*|*	aptitude=-0.642	attention=0.183	pleasentness=-0.063	polarity=-0.391	semantics=abhorrence|abomination|detestation|execration|loathing	sensitivity=0.651
abhorrence	tokens=abhorrence|*|*	aptitude=-0.642	attention=0.183	pleasentness=-0.063	polarity=-0.391	semantics=abomination|detestation|execration|loathing|odium	sensitivity=0.651
abhorrent	tokens=abhorrent|*|*	aptitude=-0.678	attention=0.123	pleasentness=-0.062	polarity=-0.443	semantics=repulsive|repugnant|detestably|abominably|odiously	sensitivity=0.712
abide	tokens=abide|*|*	aptitude=0.097	attention=0.0	pleasentness=0.038	polarity=0.045	semantics=discipline|rule|decision|follow|acceptance	sensitivity=0.0
ability	tokens=ability|*|*	aptitude=0.277	attention=0.273	pleasentness=0.0	polarity=0.129	semantics=skill|competence|talent|expert|possible	sensitivity=-0.162
ability_communicate	tokens=ability|*|*,communicate|*|*	aptitude=0.091	attention=0.136	pleasentness=-0.104	polarity=0.024	semantics=convey_information|know_language|fact_straight|know_talk|use_language	sensitivity=-0.05
ability_hear	tokens=ability|*|*,hear|*|*	aptitude=0.0	attention=0.0	pleasentness=0.708	polarity=0.236	semantics=use_ear|ear_activity|hear|audible|hear_sound	sensitivity=0.0
