abandon_stemmed_v	tokens=*|abandon|V	polarity=NEGATIVE	strong=false
abandoned_g	tokens=abandoned|*|G	polarity=NEGATIVE	strong=false
abandonment_n	tokens=abandonment|*|N	polarity=NEGATIVE	strong=false
abase_stemmed_v	tokens=*|abas|V	polarity=NEGATIVE	strong=true
abasement_stemmed	tokens=*|abas|*	polarity=NEGATIVE	strong=true
abash_stemmed_v	tokens=*|abash|V	polarity=NEGATIVE	strong=true
abate_stemmed_v	tokens=*|abat|V	polarity=NEGATIVE	strong=false
abdicate_stemmed_v	tokens=*|abdic|V	polarity=NEGATIVE	strong=false
aberration_g	tokens=aberration|*|G	polarity=NEGATIVE	strong=true
aberration_n	tokens=aberration|*|N	polarity=NEGATIVE	strong=true
abhor_stemmed	tokens=*|abhor|*	polarity=NEGATIVE	strong=true
abhor_stemmed_v	tokens=*|abhor|V	polarity=NEGATIVE	strong=true
abhorred_g	tokens=abhorred|*|G	polarity=NEGATIVE	strong=true
abhorrence_n	tokens=abhorrence|*|N	polarity=NEGATIVE	strong=true
abhorrent_g	tokens=abhorrent|*|G	polarity=NEGATIVE	strong=true
abhorrently	tokens=abhorrently|*|*	polarity=NEGATIVE	strong=true
abhors_g	tokens=abhors|*|G	polarity=NEGATIVE	strong=true
abhors_n	tokens=abhors|*|N	polarity=NEGATIVE	strong=true
abidance_g	tokens=abidance|*|G	polarity=POSITIVE	strong=true
abidance_n	tokens=abidance|*|N	polarity=POSITIVE	strong=true
abide_stemmed	tokens=*|abid|*	polarity=POSITIVE	strong=true
abilities_n	tokens=abilities|*|N	polarity=POSITIVE	strong=false
ability_n	tokens=ability|*|N	polarity=POSITIVE	strong=false
abject_g	tokens=abject|*|G	polarity=NEGATIVE	strong=true
abjectly_a	tokens=abjectly|*|A	polarity=NEGATIVE	strong=true
abjure_stemmed_v	tokens=*|abjur|V	polarity=NEGATIVE	strong=false
able_g	tokens=able|*|G	polarity=POSITIVE	strong=false
abnormal_g	tokens=abnormal|*|G	polarity=NEGATIVE	strong=false
abolish_stemmed_v	tokens=*|abolish|V	polarity=NEGATIVE	strong=false
